district,jumlah_faskes,penduduk,rasio_penduduk_per_fasilitas
Asemrowo,3,47437,15812.33333
Benowo,17,71033,4178.411765
Bubutan,18,97707,5428.166667
Bulak,10,46350,4635
Dukuh Pakis,46,59293,1288.978261
Gayungan,29,43617,1504.034483
Genteng,38,58601,1542.131579
Gubeng,90,133900,1487.777778
Gunung Anyar,24,60535,2522.291667
Jambangan,16,53639,3352.4375
Karangpilang,17,74931,4407.705882
Kenjeran,22,177561,8070.954545
Krembangan,22,114674,5212.454545
Lakarsantri,30,63017,2100.566667
Mulyorejo,74,86824,1173.297297
Pabean Cantian,32,74810,2337.8125
Pakal,9,60877,6764.111111
Rungkut,62,120067,1936.564516
Semampir,27,181226,6712.074074
Sukolilo,58,113876,1963.37931
Sambikerep,30,66796,2226.533333
Sawahan,44,199548,4535.181818
Sukomanunggal,29,104271,3595.551724
Simokerto,21,92832,4420.571429
Tambaksari,49,226136,4615.020408
Tandes,27,91784,3399.407407
Tegalsari,48,98484,2051.75
Tenggilis Mejoyo,24,58695,2445.625
Wiyung,31,74224,2394.322581
Wonocolo,39,79559,2039.974359
Wonokromo,59,155559,2636.59322
